"paper_id","source_key","title","doi","year","journal","pdf_path","md_path","status","source_quality","added_at","started_at","completed_at","notes"
"P2026-0001","doi:10.1007/s40747-025-02175-2","A dynamic auxiliary task construction-based evolutionary multitasking algorithm for large-scale multiobjective optimization","10.1007/s40747-025-02175-2","2026","Complex & Intelligent Systems","pdfs/10.1007_s40747-025-02175-2_Crossref.pdf","MD/10.1007_s40747-025-02175-2_Crossref.md","extracted","md-partial","","","",""
"P2026-0002","doi:10.1007/s40747-026-02282-8","A novel multi-objective SKG-skyline algorithm integrating spatial keyword data transformation","10.1007/s40747-026-02282-8","2026","Complex & Intelligent Systems","pdfs/10.1007_s40747-026-02282-8_Crossref.pdf","MD/10.1007_s40747-026-02282-8_Crossref.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-11T20:26:56","2026-06-11T20:59:56",""
"P2026-0003","doi:10.1007/s40747-026-02312-5","A niche-based multiobjective evolutionary algorithm for constrained multiobjective optimization with application to power dispatch problems","10.1007/s40747-026-02312-5","2026","Complex & Intelligent Systems","pdfs/Yang2026_Niche.pdf","MD/Yang2026_Niche.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T21:01:42","2026-06-19T21:06:55",""
"P2026-0004","doi:10.1007/s40747-026-02330-3","A three-stage dynamic constraint allocation algorithm with boundary guided search for constrained multi-objective optimization","10.1007/s40747-026-02330-3","2026","Complex & Intelligent Systems","pdfs/Wang2026_Three.pdf","MD/Wang2026_Three.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T20:04:06","2026-06-19T20:08:29",""
"P2026-0005","doi:10.1016/j.asoc.2025.114009","Parallel chaotic bi-objective evolutionary algorithms for scalable feature subset selection via migration strategy","10.1016/j.asoc.2025.114009","2026","Applied Soft Computing","pdfs/Vivek2026_Parallel.pdf","MD/Vivek2026_Parallel.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T18:47:42","2026-06-19T19:00:14",""
"P2026-0006","doi:10.1016/j.asoc.2025.114065","Representation embedded learning via autoencoder for large-scale multi-objective optimization","10.1016/j.asoc.2025.114065","2026","Applied Soft Computing","pdfs/Wang2026_Representation.pdf","MD/Wang2026_Representation.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T19:52:44","2026-06-19T19:57:57",""
"P2026-0007","doi:10.1016/j.asoc.2025.114085","A problem transformation method based on elite-inspired evolutionary algorithm for large-scale multi-objective optimization","10.1016/j.asoc.2025.114085","2026","Applied Soft Computing","pdfs/Cheng2026_Problem.pdf","MD/Cheng2026_Problem.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T20:24:50","2026-06-18T20:28:28",""
"P2026-0008","doi:10.1016/j.asoc.2025.114116","Multi-tasking evolutionary learning for constrained multi-modal multi-objective optimization","10.1016/j.asoc.2025.114116","2026","Applied Soft Computing","pdfs/Wu2026_Multi.pdf","MD/Wu2026_Multi.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-19T20:20:41","2026-06-19T20:25:37",""
"P2026-0009","doi:10.1016/j.asoc.2025.114135","An expensive multi-objective evolutionary algorithm based on grid and relation learning","10.1016/j.asoc.2025.114135","2026","Applied Soft Computing","pdfs/Cheng2026_Expensive.pdf","MD/Cheng2026_Expensive.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T20:16:14","2026-06-18T20:24:28",""
"P2026-0010","doi:10.1016/j.asoc.2025.114148","A multi-objective fuzzy mathematical model and machine learning algorithms for a blood supply chain considering disruptions","10.1016/j.asoc.2025.114148","2026","Applied Soft Computing","pdfs/Ghasemi2026_Multi.pdf","MD/Ghasemi2026_Multi.md","extracted","not-reviewed","2026-06-11T20:03:30","2026-06-18T21:00:58","2026-06-18T21:07:19",""
